url	first_seen	portal	title	company	status
https://jobs.ashbyhq.com/socure/169a30d0-cb29-4ba3-bebd-cfebd2e49a9b	2026-09-05	ashby_websearch	Head of GTM - Crypto and Digital Payments	Socure	added
https://job-boards.greenhouse.io/gruns/jobs/5309543008	2026-09-05	greenhouse_websearch	Director, Go-to-Market & Business Strategy	Gruns	added
https://job-boards.greenhouse.io/flex/jobs/4539932005	2026-09-05	greenhouse_websearch	VP of GTM Strategy & Operations	Flex	added
https://job-boards.greenhouse.io/webflow/jobs/7241291	2026-09-05	greenhouse_websearch	Sr. Director, GTM Programs & Strategy	Webflow	added
https://job-boards.greenhouse.io/foundry/jobs/7913233	2026-09-05	greenhouse_websearch	Head of Go-to-Market	Foundry	added
https://job-boards.greenhouse.io/ag1/jobs/4894896008	2026-09-05	greenhouse_websearch	Director, GTM	AG1	added
https://job-boards.greenhouse.io/interfaceai/jobs/4589893006	2026-09-05	greenhouse_websearch	VP of Partnerships	interface.ai	added
https://jobs.ashbyhq.com/openai/c779c474-b4c0-4b88-a9d1-9371c5a575c8/application	2026-09-05	ashby_websearch	Head of EMEA Product Partnerships	OpenAI	added
https://job-boards.greenhouse.io/anthropic/jobs/5215052008	2026-09-05	greenhouse_websearch	Amazon GTM Partnership, Startups	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5390022008	2026-09-05	greenhouse_websearch	Strategic Partner Development, Data & Product Partnerships - Beneficial Deployments	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5391184008	2026-09-05	greenhouse_websearch	AWS GTM Partnership Lead, Global System Integrators	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5300430008	2026-09-05	greenhouse_websearch	Applied AI Architect, Partnerships	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5139423008	2026-09-05	greenhouse_websearch	GTM Strategy & Operations, Enterprise Business Partner	Anthropic	added
https://jobs.ashbyhq.com/Serval/fd212cd2-5d9c-4a9d-8cf1-d374c17e6e95	2026-09-05	ashby_websearch	Head of Partnerships	Serval	added
https://jobs.ashbyhq.com/searchable/cf5519b7-80d5-4019-b136-98088d891515	2026-09-05	ashby_websearch	Head of Partnerships	Searchable	added
https://jobs.ashbyhq.com/sardine/b9dbe08f-cc78-4ab5-9e98-99aec3fb840d	2026-09-05	ashby_websearch	Head of Partnerships	Sardine	added
https://jobs.ashbyhq.com/blp-digital/3aafb6cf-35fc-4b53-83a9-4a5612eaf2b3	2026-09-05	ashby_websearch	Head of Partnerships	BLP Digital AG	added
https://jobs.ashbyhq.com/mimica/87425be0-a592-4ce2-9d5a-9f045cbb4d66	2026-09-05	ashby_websearch	Head of Partnerships	Mimica	added
https://jobs.ashbyhq.com/revin/eb46f295-d3b9-41f9-aab3-2da914a8a806	2026-09-05	ashby_websearch	Head of Partnerships	Revin	added
https://job-boards.greenhouse.io/anthropic/jobs/5279027008	2026-09-05	greenhouse_websearch	People Partner, GTM	Anthropic	skipped_title
https://job-boards.greenhouse.io/aerospike/jobs/8187773002	2026-09-05	greenhouse_websearch	Business Development Representative	Aerospike	skipped_title
